,First Rand,Investec Group,MTN Group,Aveng Limited
2012-01-31,2255.0,2654.759521484375,13320.0,1501.9010009765625
2012-02-01,2290.0,2726.695068359375,13550.0,1485.0548095703125
2012-02-02,2300.0,2783.78662109375,13829.0,1468.640625
2012-02-03,2320.0,2739.255126953125,13599.0,1479.439453125
2012-02-06,2275.0,2694.7236328125,13195.0,1466.0489501953125
2012-02-07,2284.0,2696.4365234375,13200.0,1451.362548828125
2012-02-08,2299.0,2711.2802734375,13301.0,1482.463134765625
2012-02-09,2329.0,2748.960693359375,13588.0,1498.8773193359375
2012-02-10,2285.0,2691.298095703125,13425.0,1510.108154296875
2012-02-13,2287.0,2724.411376953125,13560.0,1510.5400390625
2012-02-14,2260.0,2702.1455078125,13500.0,1494.1258544921875
2012-02-15,2285.0,2744.393310546875,13550.0,1496.717529296875
2012-02-16,2264.0,2730.69140625,13340.0,1483.7589111328125
2012-02-17,2294.0,2749.53173828125,13425.0,1505.3565673828125
2012-02-20,2290.0,2746.106201171875,13450.0,1511.8359375
2012-02-21,2302.0,2746.106201171875,13440.0,1517.4512939453125
2012-02-22,2273.0,2728.978759765625,13372.0,1549.8477783203125
2012-02-23,2348.0,2772.368408203125,13330.0,1494.5577392578125
2012-02-24,2474.0,2780.361083984375,13440.0,1524.362548828125
2012-02-27,2396.0,2743.251708984375,13274.0,1524.7945556640625
2012-02-28,2425.0,2797.488525390625,13445.0,1536.4571533203125
2012-02-29,2390.0,2791.779296875,13530.0,1563.6702880859375
2012-03-01,2463.0,2811.761474609375,13650.0,1580.9483642578125
2012-03-02,2445.0,2808.3359375,13749.0,1555.03125
2012-03-05,2440.0,2779.790283203125,13605.0,1558.9188232421875
2012-03-06,2389.0,2713.56396484375,13513.0,1542.9365234375
2012-03-07,2391.0,2727.265869140625,13920.0,1533.43359375
2012-03-08,2424.0,2737.54248046875,13900.0,1555.03125
2012-03-09,2426.0,2742.109619140625,14200.0,1585.2679443359375
2012-03-12,2433.0,2753.528076171875,14325.0,1585.2679443359375
2012-03-13,2460.0,2797.488525390625,14201.0,1606.001708984375
2012-03-14,2485.0,2801.485107421875,14010.0,1646.6053466796875
2012-03-15,2487.0,2722.127685546875,13817.0,1639.2620849609375
2012-03-16,2400.0,2726.1240234375,13975.0,1621.552001953125
2012-03-19,2375.0,2708.42578125,14010.0,1606.8656005859375
2012-03-20,2360.0,2707.854736328125,14120.0,1624.1436767578125
2012-03-21,2360.0,2707.854736328125,14120.0,1624.1436767578125
2012-03-22,2329.0,2651.905029296875,14045.0,1596.4986572265625
2012-03-23,2337.0,2666.177978515625,14100.0,1627.1673583984375
2012-03-26,2369.0,2691.869140625,13709.0,1626.303466796875
2012-03-27,2416.0,2723.26953125,13900.0,1668.6348876953125
2012-03-28,2418.0,2695.865478515625,13950.0,1684.6170654296875
2012-03-29,2400.0,2660.46875,13740.0,1681.593505859375
2012-03-30,2370.0,2678.738037109375,13502.0,1688.5047607421875
2012-04-02,2390.0,2674.170654296875,12899.0,1684.1851806640625
2012-04-03,2406.0,2692.440185546875,13200.0,1688.9366455078125
2012-04-04,2356.0,2600.522705078125,12755.0,1691.5284423828125
2012-04-05,2360.0,2607.37353515625,12989.0,1722.1971435546875
2012-04-06,2360.0,2607.37353515625,12989.0,1722.1971435546875
2012-04-09,2360.0,2607.37353515625,12989.0,1722.1971435546875
2012-04-10,2383.0,2577.685791015625,13116.0,1747.2503662109375
2012-04-11,2370.0,2598.809814453125,13102.0,1753.7296142578125
2012-04-12,2390.0,2602.80615234375,13103.0,1781.3746337890625
2012-04-13,2389.0,2560.558349609375,13059.0,1809.883544921875
2012-04-16,2360.0,2532.0126953125,12854.0,1812.0433349609375
2012-04-17,2361.0,2558.845703125,13050.0,1840.1202392578125
2012-04-18,2412.0,2557.703857421875,13300.0,1792.6053466796875
2012-04-19,2390.0,2581.111328125,13490.0,1783.9664306640625
2012-04-20,2470.0,2567.98046875,13406.0,1770.1439208984375
2012-04-23,2413.0,2512.030517578125,13400.0,1738.611328125
2012-04-24,2431.0,2529.158203125,13450.0,1730.4041748046875
2012-04-25,2477.0,2529.72900390625,13500.0,1732.1319580078125
2012-04-26,2511.0,2546.285400390625,13373.0,1682.8892822265625
2012-04-27,2511.0,2546.285400390625,13373.0,1682.8892822265625
2012-04-30,2527.0,2544.001953125,13589.0,1717.445556640625
2012-05-01,2527.0,2544.001953125,13589.0,1717.445556640625
2012-05-02,2566.0,2563.4130859375,13629.0,1710.5343017578125
2012-05-03,2610.0,2569.122314453125,13450.0,1697.57568359375
2012-05-04,2607.0,2551.99462890625,13668.0,1667.3389892578125
2012-05-07,2597.0,2548.569091796875,13629.0,1697.57568359375
2012-05-08,2582.0,2504.608642578125,13481.0,1682.4573974609375
2012-05-09,2561.0,2486.910400390625,13445.0,1664.747314453125
2012-05-10,2620.0,2530.870849609375,13545.0,1658.699951171875
2012-05-11,2614.0,2546.285400390625,13657.0,1653.0845947265625
2012-05-14,2580.0,2517.73974609375,13340.0,1615.504638671875
2012-05-15,2560.0,2492.048583984375,13470.0,1577.060791015625
2012-05-16,2594.0,2486.33935546875,13662.0,1615.9366455078125
2012-05-17,2600.0,2418.97119140625,13445.0,1631.0550537109375
2012-05-18,2500.0,2365.30517578125,13250.0,1597.362548828125
2012-05-21,2485.0,2352.174072265625,13271.0,1598.2264404296875
2012-05-22,2530.0,2418.97119140625,13318.0,1615.504638671875
2012-05-23,2480.0,2412.691162109375,13095.0,1596.9306640625
2012-05-24,2506.0,2454.93896484375,13230.0,1612.0489501953125
2012-05-25,2500.0,2456.651611328125,13315.0,1641.4217529296875
2012-05-28,2497.0,2485.197509765625,13290.0,1663.01953125
2012-05-29,2556.0,2551.423828125,13575.0,1641.4217529296875
2012-05-30,2525.0,2470.353759765625,13371.0,1636.2384033203125
2012-05-31,2575.0,2493.76123046875,13446.0,1663.01953125
2012-06-01,2571.0,2476.6337890625,13550.0,1658.699951171875
2012-06-04,2597.0,2445.2333984375,13600.0,1648.7650146484375
2012-06-05,2605.0,2442.94970703125,13441.0,1637.9661865234375
2012-06-06,2624.0,2482.913818359375,13529.0,1630.623046875
2012-06-07,2695.0,2583.39501953125,13430.0,1674.250244140625
2012-06-08,2684.0,2549.14013671875,13430.0,1650.9248046875
2012-06-11,2643.0,2557.703857421875,13315.0,1646.6053466796875
2012-06-12,2690.0,2579.969482421875,13462.0,1667.3389892578125
