Time	Open	High	Low	Close	Volume
2019-02-27 00:00:00	79.522	79.548	79.328	79.439	35299
2019-02-27 04:00:00	79.439	79.53	79.215	79.233	24313
2019-02-27 08:00:00	79.235	79.261	79.114	79.197	28908
2019-02-27 12:00:00	79.196	79.264	78.943	79.204	43381
2019-02-27 16:00:00	79.208	79.296	79.109	79.276	27005
2019-02-27 20:00:00	79.275	79.283	79.15	79.248	12301
2019-02-28 00:00:00	79.248	79.468	79.064	79.242	27104
2019-02-28 04:00:00	79.242	79.275	78.932	79.026	24520
2019-02-28 08:00:00	79.028	79.144	78.982	79.12	30496
2019-02-28 12:00:00	79.119	79.255	79.041	79.19	47932
2019-02-28 16:00:00	79.191	79.208	78.966	79.009	30647
2019-02-28 20:00:00	79.012	79.128	78.978	79.082	14144
2019-03-01 00:00:00	79.082	79.389	79.043	79.213	31652
2019-03-01 04:00:00	79.213	79.376	79.162	79.365	14859
2019-03-01 08:00:00	79.364	79.614	79.303	79.557	20998
2019-03-01 12:00:00	79.556	79.648	79.3	79.381	43686
2019-03-01 16:00:00	79.382	79.389	79.187	79.216	29863
2019-03-01 20:00:00	79.216	79.263	79.173	79.209	8893
2019-03-03 20:00:00	79.505	79.557	79.316	79.467	14974
2019-03-04 00:00:00	79.468	79.522	79.25	79.515	23570
2019-03-04 04:00:00	79.516	79.519	79.262	79.301	20503
2019-03-04 08:00:00	79.301	79.306	79.155	79.251	40584
2019-03-04 12:00:00	79.25	79.37	79.204	79.233	31849
2019-03-04 16:00:00	79.234	79.241	79.035	79.175	31715
2019-03-04 20:00:00	79.174	79.275	79.157	79.249	13250
2019-03-05 00:00:00	79.249	79.365	79.009	79.145	27726
2019-03-05 04:00:00	79.146	79.267	79.133	79.232	30219
2019-03-05 08:00:00	79.232	79.353	79.198	79.256	27753
2019-03-05 12:00:00	79.256	79.271	79.08	79.112	38656
2019-03-05 16:00:00	79.112	79.306	79.087	79.282	22509
2019-03-05 20:00:00	79.282	79.308	79.151	79.285	12536
2019-03-06 00:00:00	79.282	79.342	78.564	78.588	28620
2019-03-06 04:00:00	78.588	78.72	78.548	78.609	20897
2019-03-06 08:00:00	78.609	78.709	78.558	78.616	29805
2019-03-06 12:00:00	78.617	78.697	78.428	78.507	36936
2019-03-06 16:00:00	78.508	78.581	78.386	78.564	25823
2019-03-06 20:00:00	78.563	78.606	78.484	78.492	16105
2019-03-07 00:00:00	78.492	78.709	78.334	78.658	19325
2019-03-07 04:00:00	78.658	78.76	78.625	78.695	14180
2019-03-07 08:00:00	78.697	78.722	78.635	78.697	21223
2019-03-07 12:00:00	78.698	78.749	78.421	78.423	39898
2019-03-07 16:00:00	78.422	78.535	78.183	78.186	31531
2019-03-07 20:00:00	78.186	78.416	78.156	78.413	18142
2019-03-08 00:00:00	78.412	78.412	78.043	78.123	19659
2019-03-08 04:00:00	78.122	78.137	77.728	77.764	25904
2019-03-08 08:00:00	77.766	78.143	77.766	78.133	26601
2019-03-08 12:00:00	78.133	78.355	77.927	78.24	46769
2019-03-08 16:00:00	78.242	78.396	78.219	78.288	24102
2019-03-08 20:00:00	78.287	78.342	78.195	78.285	8620
2019-03-10 20:00:00	78.03	78.262	78.03	78.172	6548
2019-03-11 00:00:00	78.172	78.229	77.91	78.191	23979
2019-03-11 04:00:00	78.192	78.482	78.181	78.454	14903
2019-03-11 08:00:00	78.456	78.461	78.286	78.334	23049
2019-03-11 12:00:00	78.335	78.534	78.276	78.477	28639
2019-03-11 16:00:00	78.478	78.717	78.441	78.636	23003
2019-03-11 20:00:00	78.634	78.769	78.545	78.73	17660
2019-03-12 00:00:00	78.73	78.841	78.576	78.773	17530
2019-03-12 04:00:00	78.772	78.794	78.637	78.764	13308
2019-03-12 08:00:00	78.762	78.873	78.51	78.614	29856
2019-03-12 12:00:00	78.613	78.893	78.589	78.875	33242
2019-03-12 16:00:00	78.874	78.927	78.748	78.851	27897
2019-03-12 20:00:00	78.848	78.849	78.504	78.616	15580
2019-03-13 00:00:00	78.615	78.717	78.374	78.517	19787
2019-03-13 04:00:00	78.517	78.624	78.465	78.521	14071
2019-03-13 08:00:00	78.522	78.72	78.511	78.695	19910
2019-03-13 12:00:00	78.695	78.887	78.608	78.82	29397
2019-03-13 16:00:00	78.82	78.855	78.677	78.849	29325
2019-03-13 20:00:00	78.848	78.978	78.784	78.803	15899
2019-03-14 00:00:00	78.803	78.939	78.683	78.808	24227
2019-03-14 04:00:00	78.809	78.856	78.752	78.823	17202
2019-03-14 08:00:00	78.824	78.937	78.571	78.697	29114
2019-03-14 12:00:00	78.697	78.885	78.617	78.881	33756
2019-03-14 16:00:00	78.882	78.971	78.838	78.921	22244
2019-03-14 20:00:00	78.924	78.993	78.832	78.983	13321
2019-03-15 00:00:00	78.984	79.243	78.982	79.081	37003
2019-03-15 04:00:00	79.079	79.189	79.049	79.186	13064
2019-03-15 08:00:00	79.187	79.207	79.029	79.065	17851
2019-03-15 12:00:00	79.066	79.141	78.883	79.099	31728
